property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,submarket
abnb_748643615772041833,748643615772041833,1724307a,entire_place,2.0,2.0,6.0,5.0,65.0,Sea View 2BR Apartment – Zona Colonial,70837769.5,75152453.65,37.9,544905.95,343.0,84832,Santo Domingo City,cop,Low,18.46841,-69.88556,141879
abnb_37207587,37207587,,entire_place,2.0,2.0,4.0,4.9,130.0,Colorful Caribbean house in the Zona Colonial,68981533.8,69931552.3,51.67,370868.45,360.0,84832,Santo Domingo City,cop,Low,18.47817,-69.88645,141879
abnb_1071279535177991963,1071279535177991963,,entire_place,2.0,2.0,4.0,4.9,34.0,Apartment 201,67958036.25,68117430.4,56.72,392821.02,305.0,84832,Santo Domingo City,cop,Low,18.47111,-69.88356,141879
abnb_1319723819109998396,1319723819109998396,11757574ha,entire_place,3.0,3.0,8.0,5.0,18.0,"Chill Colonial vibes, fresh air and soft sheets",66490656.25,68092228.15,39.88,496198.95,336.0,84832,Santo Domingo City,cop,High,18.4724,-69.8865,141879
abnb_808001568788972094,808001568788972094,,entire_place,2.0,2.0,4.0,4.6,20.0,Casa Azul in the Colonial Zone,65188356.5,65765953.95,50.31,407427.23,318.0,84832,Santo Domingo City,cop,Medium,18.4737,-69.8878,141879
abnb_1204262011692820726,1204262011692820726,11640612ha,entire_place,2.0,2.0,4.0,4.8,39.0,SDQ Colonial zone  Wide apt 2 bed 2 bathroom +wifi,64858196.0,66692714.48,76.9,237575.79,355.0,84832,Santo Domingo City,cop,High,18.4696,-69.8893,141879
abnb_1392281125601623947,1392281125601623947,4894141,entire_place,2.0,2.0,4.0,4.9,26.0,Modern luxury house with Jacuzzi Colonial Zone!,64285917.8,66605442.05,48.94,462488.63,284.0,84832,Santo Domingo City,cop,High,18.4691,-69.8886,141879
abnb_41832090,41832090,,entire_place,2.0,2.5,6.0,4.8,104.0,Your 2BR House + Terrace in the Colonial Zone,64142848.25,64679065.59,27.51,754621.77,309.0,84832,Santo Domingo City,cop,Low,18.47027,-69.88629,141879
abnb_50202245,50202245,,entire_place,2.0,2.0,5.0,4.8,10.0,Beautiful Colonial House with two apartments,63566901.6,77651218.37,68.15,345472.28,270.0,84832,Santo Domingo City,cop,Medium,18.476,-69.8877,141879
abnb_1183350299178420359,1183350299178420359,,entire_place,3.0,3.0,6.0,4.9,76.0,"3 bedroom 3 bath Penthouse ocean view, terrace",62616773.05,65650874.68,60.63,296761.98,348.0,84832,Santo Domingo City,cop,Medium,18.4697,-69.8851,141879
abnb_1347422816018085240,1347422816018085240,4536524,entire_place,2.0,2.0,4.0,4.6,16.0,Lux 2BR w/Jacuzzi/Patio/Malecon,61780366.45,62171790.06,70.91,316822.4,275.0,84832,Santo Domingo City,cop,High,18.4688,-69.8877,141879
abnb_787782814627157131,787782814627157131,,entire_place,3.0,2.0,6.0,4.9,95.0,Ocean View 3BR Apt in Zona Colonial Santo Domingo,61402516.1,66523085.35,37.09,491220.13,337.0,84832,Santo Domingo City,cop,Low,18.46937,-69.88526,141879
abnb_922402438250736928,922402438250736928,,entire_place,3.0,2.0,5.0,4.7,65.0,Newly Remodeled 3BR Zona Colonial,60786216.5,64099377.12,53.33,330359.86,345.0,84832,Santo Domingo City,cop,Low,18.46929,-69.88855,141879
abnb_776896917930471516,776896917930471516,,entire_place,3.0,3.0,9.0,4.8,164.0,La Caracola: rooftop apartment with jacuzzi near nightlife,60441382.2,64726902.17,22.5,839463.63,320.0,84832,Santo Domingo City,cop,Low,18.47232,-69.88565,141879
abnb_35997566,35997566,,entire_place,3.0,3.0,6.0,4.9,185.0,Modern apartment in the heart of Colonial Zone,60217606.75,60453047.87,49.86,332693.95,363.0,84832,Santo Domingo City,cop,Medium,18.4721,-69.8835,141879
