id,listing_count,name,rent_entire_place,rent_min_stay_1_nights,rent_min_stay_2_nights,rent_min_stay_30_nights,rent_min_stay_3_nights,rent_min_stay_4_nights,rent_min_stay_7_nights,rent_private_room,rent_shared_room,rent_size_1_bedroom,rent_size_2_bedroom,rent_size_3_bedroom,rent_size_4_bedroom,rent_size_5_bedroom
141879,609,Ciudad Colonial,441.0,333.0,208.0,1.0,44.0,22.0,1.0,163.0,5.0,419.0,135.0,55.0,0.0,0.0
184569,1003,Piantini,983.0,410.0,371.0,13.0,139.0,35.0,33.0,20.0,,726.0,225.0,52.0,0.0,0.0
190750,435,La Esperilla,417.0,183.0,166.0,1.0,66.0,9.0,10.0,18.0,,281.0,110.0,44.0,0.0,0.0
192098,542,Ensanche Naco,506.0,158.0,271.0,7.0,77.0,23.0,6.0,36.0,,265.0,233.0,44.0,0.0,0.0
405280,306,Evaristo Morales,298.0,103.0,155.0,7.0,24.0,5.0,12.0,8.0,,170.0,101.0,35.0,0.0,0.0
